# KLSE Screener Universe — 100 stocks
# Source: KLSE Screener live index data (May 2026)
# Format: TICKER.KL   SHORT_NAME
# Lines starting with # are ignored.

# ── FBM KLCI 30 ──────────────────────────────────────────────────────────────
1155.KL   MAYBANK
1295.KL   PBBANK
1023.KL   CIMB
1066.KL   RHBBANK
5819.KL   HLFG
1015.KL   AMBANK
5347.KL   TENAGA
5183.KL   PCHEM
6033.KL   PETGAS
5681.KL   PETDAG
4863.KL   TM
6012.KL   MAXIS
6888.KL   AXIATA
6947.KL   CDB
6742.KL   YTLPOWR
4677.KL   YTL
4197.KL   SIME
5285.KL   SDGUTHRIE
2445.KL   KLK
1961.KL   IOICORP
4065.KL   PPB
4707.KL   NESTLE
3816.KL   MISC
5225.KL   IHH
8869.KL   PMETAL
5296.KL   MRDIY
5398.KL   GAMUDA
5211.KL   SUNWAY
5555.KL   SUNMED
5326.KL   99SMART

# ── FBM MID 70 ───────────────────────────────────────────────────────────────
5249.KL   IOIPG
5246.KL   WPRTS
2089.KL   UTDPLT
5878.KL   KPJ
7084.KL   QL
5227.KL   IGBREIT
7277.KL   DIALOG
4715.KL   GENM
0097.KL   VITROX
5031.KL   TIMECOM
2429.KL   TANCO
5288.KL   SIMEPROP
5263.KL   SUNCON
3794.KL   MCEMENT
3182.KL   GENTING
3867.KL   MPI
0128.KL   FRONTKN
5176.KL   SUNREIT
2488.KL   ABMB
3336.KL   IJM
5212.KL   PAVREIT
5337.KL   ECOSHOP
0166.KL   INARI
3034.KL   HAPSENG
1818.KL   BURSA
5209.KL   GASMSIA
3255.KL   HEIM
0138.KL   ZETRIX
8206.KL   ECOWLD
7113.KL   TOPGLOV
7293.KL   YINSON
5005.KL   UNISEM
0208.KL   GREATEC
5185.KL   AFFIN
5292.KL   UWC
0151.KL   KGB
5053.KL   OSK
3301.KL   HLIND
1171.KL   MBSB
4731.KL   SCIENTX
8664.KL   SPSETIA
5258.KL   BIMB
2836.KL   CARLSBG
5309.KL   ITMAX
2291.KL   GENP
5264.KL   MALAKOF
4006.KL   ORIENT
5306.KL   FFB
5168.KL   HARTA
5106.KL   AXREIT
5323.KL   JPG
5126.KL   SOP
5038.KL   KSL
5286.KL   MI
5148.KL   UEMS
5151.KL   HEXTAR
6139.KL   TAKAFUL
7153.KL   KOSSAN
9822.KL   SAM
3069.KL   MFCB
5139.KL   AEONCR
7160.KL   PENTA
5401.KL   TROP
7161.KL   KERJAYA
8583.KL   MAHSING
5236.KL   MATRIX
5102.KL   GCB
5318.KL   DXN
0270.KL   NATGATE
5301.KL   CTOS
